"word","definition","quizId","questionNumber","randomDefOne","randomDefTwo","randomDefThree"
"antidote","medicine used against a poison or a disease","5bb70604b9e91037328e61a8","1","tiring because too long","waste away through sorrow or illness","dethronement; depositing"
"strive","to make great efforts, to struggle","5bb70604b9e91037328e61a8","2","complex","agreeably pungent; stimulating","letter"
"ambidextrous","able to use the left hand or the right equally well","5bb70604b9e91037328e61a8","3","to awaken or rouse","tap or drive down by repeated light blows","to deny; to oppose"
"precursors","a person or thing that precedes, as in a process or job.","5bb70604b9e91037328e61a8","4","bulge; the protuberance of a cask","representing the whole Christian world","defect of character (a person is wrongly proud)"
"philanthropist","one who loves mankind","5bb70604b9e91037328e61a8","5","bombastic","To solicit customers, votes, or patronage","to distress; create stress or torment"
"retrospective","Looking back on past","5bb70604b9e91037328e61a8","6","make hard and without feeling","menacing; threatening","fairly good but not very good"
"ambiguous","doubtful; uncertain","5bb70604b9e91037328e61a8","7","at be discontented with","discuss thoroughly sort of touting","extremely loud and powerful"
"introvert","one who turns towards himself","5bb70604b9e91037328e61a8","8","catch sight of see something in the distance","refrain from; be patient; ancestor","counterbalance"
"braggart","boastful","5bb70604b9e91037328e61a8","9","paint portray","paint with dots","soft light; delicate material"
"entice","attract, lure","5bb70604b9e91037328e61a8","10","jesting","king of blue-grey stone propose criticize","bad-tempered person"
"equilibrium","state of being balanced","5bb70604b9e91037328e61a8","11","write in scholarly fashion","get to the root of","to frequently visit"
"alleviate","make (pain) easier to bear","5bb70604b9e91037328e61a8","12","made of brass","to stop the flow of a fluid","taking off getting rid of giving up"
"adorn","add beauty; decorate","5bb70604b9e91037328e61a8","13","without refinement or sensitivity; gross.","showing respect","A stock of plays, dances, or pieces that a company or a performer knows or is prepared to perform"
"malevolent","malicious; evil; having or showing ill will","5bb70604b9e91037328e61a8","14","put something warm (to lessen the pain)","slander","abstinence from alcohol self-control moderation"
"introspection","examining one's own thoughts and feelings","5bb70604b9e91037328e61a8","15","merry person","various miscellaneous; separate","finical"
"gerontocracy","government ruled by old people","5bb70604b9e91037328e61a8","16","cowardice a cowardly giving up","surprise and fear; dismay","aggressiveness ferocity"
"aggravate","make worse; irritate","5bb70604b9e91037328e61a8","17","witness/evidence","to beg; to get by begging","gather facts in small quantities"
"connote","Suggest or imply in addition to the precise, literal meaning","5bb70604b9e91037328e61a8","18","in the highest degree","able to fly trained experienced","worldly having contempt for God"
"abhor","to hate; to detest","5bb70604b9e91037328e61a8","19","try to avoid by sophistication","Cheap and showy","to attack verbally; denounce; deprecate"
"agile","active; quick-moving","5bb70604b9e91037328e61a8","20","a hasty escape; flight.","have nothing to do reject or refuse","formal reception/embankment"
"endeavor","to make an effort, to try very hard","5bb70604b9e91037328e61a8","21","pompous self important","to hesitate; raise objections","transparent; gauzy"
"stray","wander lose one's way","5bb70604b9e91037328e61a8","22","sparkle","noisy and rough","An alloy of zinc and copper used as imitation gold; A cheap imitation"
"renovate","restore something to better condition","5bb70604b9e91037328e61a8","23","to consume (liquids) by drinking; drink","to adorn especially in a cheap showy manner","shyness"
"amalgamate","mix; combine; unite societies","5bb70604b9e91037328e61a8","24","marked by the characteristics of an earlier period","cessation of use disuse","alarm excited state of mind"
"curriculum","course of study","5bb70604b9e91037328e61a8","25","medicine used against a poison or a disease","provide supply","not any; no;"
"drowsiness","feeling sleepy half asleep","5bb70604b9e91037328e61a9","1","to make great efforts, to struggle","to favor or approve of","insubstantial flimsy weak"
"suffocate","cause or have difficulty in breathing","5bb70604b9e91037328e61a9","2","able to use the left hand or the right equally well","asking humbly beseeching","wrinkle"
"sequence","succession connected line of","5bb70604b9e91037328e61a9","3","a person or thing that precedes, as in a process or job.","noisy; loud","lower the quality weaken the strength"
"xenophile","(zen-uh-fahyl) a person who is attracted to foreign peoples cultures","5bb70604b9e91037328e61a9","4","one who loves mankind","arrogance","dig up from the earth"
"sporadic","happening from time to time","5bb70604b9e91037328e61a9","5","Looking back on past","formidable causing fear","like a man who pays too much attention to his clothes"
"affinity","close connection; relationship","5bb70604b9e91037328e61a9","6","doubtful; uncertain","obstacle purposely to get on the way of","substance that shrinks"
"scent","smell (especially pleasant)","5bb70604b9e91037328e61a9","7","one who turns towards himself","a loud domineering woman a scold or nag","showing scorn or reproach"
"audacious","Bold","5bb70604b9e91037328e61a9","8","boastful","beat hard","diminishing or lessening of swelling"
"disrobe","undress","5bb70604b9e91037328e61a9","9","attract, lure","not new","formal praise eulogy"
"acumen","Keen, quick, accurate insight or judgment","5bb70604b9e91037328e61a9","10","state of being balanced","disdainful characterized by haughty scorn","criticism; anti-aircraft guns"
"heterogeneous","made up of different kinds","5bb70604b9e91037328e61a9","11","make (pain) easier to bear","greatness in number strength weight","distracted"
"massacre","cruel killing of a large number of people","5bb70604b9e91037328e61a9","12","add beauty; decorate","prayer","snub"
"animosity","strong dislike","5bb70604b9e91037328e61a9","13","malicious; evil; having or showing ill will","person hardened in sin; one devoid of decency","continue doing something without resting"
"combustion","process of burning","5bb70604b9e91037328e61a9","14","examining one's own thoughts and feelings","sealed by fusion","trifling/worthless"
"adulteration","making unpure; poorer in quality","5bb70604b9e91037328e61a9","15","government ruled by old people","ending; expiring","stubborn; unmanageable; intractable"
"appease","make quiet or calm","5bb70604b9e91037328e61a9","16","make worse; irritate","puzzle in which pictures stand for words","to be divided or subdivided to branch out"
"premature","doing or happening something before the right time","5bb70604b9e91037328e61a9","17","Suggest or imply in addition to the precise, literal meaning","strange act or idea","likely to be useful for a purpose"
"fragile","easily injured broken or destroyed","5bb70604b9e91037328e61a9","18","to hate; to detest","hence; dark; gloomy","fertile"
"legacy","Bequest or inheritance","5bb70604b9e91037328e61a9","19","active; quick-moving","not permitting penetration or passage; impenetrable","warm or glowing praise eulogy panegyric"
"submerge","put under water liquid sink out of sight","5bb70604b9e91037328e61a9","20","to make an effort, to try very hard","denounce as dangerous","abusively; detractive language; sharp criticism; vituperation"
"anguish","severe suffering","5bb70604b9e91037328e61a9","21","wander lose one's way","make by hard work cut (by striking)","drink deeply"
"indigenous","native","5bb70604b9e91037328e61a9","22","restore something to better condition","omen marvelous threatening","forceful effective vigorous extremely perceptive incisive"
"apt","well-suited; quick-witted","5bb70604b9e91037328e61a9","23","mix; combine; unite societies","trivial poorly constructed verse","fond of in the habit of fighting"
"correlate","have a mutual relation","5bb70604b9e91037328e61a9","24","course of study","short and pithy full of maxims/proverbs","curse abuse in words"
"grumble","to complain","5bb70604b9e91037328e61a9","25","feeling sleepy half asleep","ready to do something dishonest","confuse embarrass"
"offhand","Without preparation or forethought","5bb70604b9e91037328e61aa","1","cause or have difficulty in breathing","person who eats a lot","lose courage turn frightened"
